# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.waitingTime90PNs,1788936957051000000,1788937017071000000,139460607
ReadAction.executionsCount,1788936957051000000,1788937017071000000,229
FlushQueue.executionTime90PNs,1788936957051000000,1788937017071000000,1785855
FlushQueue.queueSize90P,1788936957051000000,1788937017071000000,9
FlushQueue.queueSizeMax,1788936957051000000,1788937017071000000,18
AWTEventQueue.dispatchTime90PNs,1788936957051000000,1788937017071000000,790527
FlushQueue.queueSizeAvg,1788936957051000000,1788937017071000000,3.021276595744681
FlushQueue.waitingTimeMaxNs,1788936957051000000,1788937017071000000,429916159
WriteAction.executionsCount,1788936957051000000,1788937017071000000,0
AWTEventQueue.dispatchTimeMaxNs,1788936957051000000,1788937017071000000,455081983
FlushQueue.tasksExecuted,1788936957051000000,1788937017071000000,188
FlushQueue.executionTimeMaxNs,1788936957051000000,1788937017071000000,28051505151
FlushQueue.executionTimeAvgNs,1788936957051000000,1788937017071000000,2.312879698723404E8
AWTEventQueue.eventsDispatched,1788936957051000000,1788937017071000000,3224
FlushQueue.waitingTimeAvgNs,1788936957051000000,1788937017071000000,3.609984289361702E7
AWTEventQueue.dispatchTimeTotalNS,1788936957051000000,1788937017071000000,2432988677
AWTEventQueue.dispatchTimeAvgNs,1788936957051000000,1788937017071000000,754830.7394540943
VFS.contentStorage.recordsRead,1788936957051000000,1788937017071000000,0
VFS.cache.filesCreated,1788936957051000000,1788937017071000000,0
VFS.ContentWriter.totalTimeSpentOnAsyncOperationsUs,1788936957051000000,1788937017071000000,0
VFS.ContentWriter.totalTasksExecutedSync,1788936957051000000,1788937017071000000,0
VFS.contentStorage.recordsStoredSize,1788936957051000000,1788937017071000000,0
VFS.invertedFileNameIndex.requests,1788936957051000000,1788937017071000000,0
VFS.folderCaseSensitivityReads,1788936957051000000,1788937017071000000,0
FileNameCache.queries,1788936957051000000,1788937017071000000,0
VFS.contentStorage.recordsReadSize,1788936957051000000,1788937017071000000,0
VFS.contentStorage.recordsStoredCompressed,1788936957051000000,1788937017071000000,0
VFS.contentStorage.recordsReadDecompressed,1788936957051000000,1788937017071000000,0
VFS.fileChildByName,1788936957051000000,1788937017071000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1788936957051000000,1788937017071000000,0
FileNameCache.totalMisses,1788936957051000000,1788937017071000000,0
VFS.contentStorage.recordsDeduplicated,1788936957051000000,1788937017071000000,0
VFS.fileByIdCache.hits,1788936957051000000,1788937017071000000,0
VFS.contentStorage.recordsStored,1788936957051000000,1788937017071000000,0
VFS.contentStorage.recordsUncompressedSize,1788936957051000000,1788937017071000000,0
VFS.fileByIdCache.misses,1788936957051000000,1788937017071000000,0
VFS.cache.segments,1788936957051000000,1788937017071000000,0
VFS.cache.segmentsCreated,1788936957051000000,1788937017071000000,0
VFS.ContentWriter.totalTimeSpentOnSyncOperationsUs,1788936957051000000,1788937017071000000,0
VFS.ContentWriter.totalFlushes,1788936957051000000,1788937017071000000,0
VFS.ContentWriter.totalTasksExecutedAsync,1788936957051000000,1788937017071000000,0
VFS.rootsCount,1788936957051000000,1788937017071000000,0.0
VFS.cache.directoriesCreated,1788936957051000000,1788937017071000000,0
Indexing.writesQueuedMin,1788936957051000000,1788937017071000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1788936957051000000,1788937017071000000,0
